Ticker,Security Name,Company Name,Trading Status,Exchanges,Most Recent Trade Price ($USD Historical rate),Equity Security Type,CIK,Industry Classifications,% Change - Dividend Adj. Day Close Price [03/01/2006-03/01/2007],% Change - Dividend Adj. Day Close Price [03/01/2007-03/01/2008],% Change - Dividend Adj. Day Close Price [03/01/2008-03/01/2009],% Change - Dividend Adj. Day Close Price [03/01/2009-03/01/2010],% Change - Dividend Adj. Day Close Price [03/01/2010-03/01/2011],% Change - Dividend Adj. Day Close Price [03/01/2011-03/01/2012],% Change - Dividend Adj. Day Close Price [03/01/2012-03/01/2013],% Change - Dividend Adj. Day Close Price [03/01/2013-03/01/2014],% Change - Dividend Adj. Day Close Price [03/01/2014-03/01/2015],% Change - Dividend Adj. Day Close Price [03/01/2015-03/01/2016],% Change - Dividend Adj. Day Close Price [03/01/2016-03/01/2017],% Change - Dividend Adj. Day Close Price [03/01/2017-03/01/2018],% Change - Dividend Adj. Day Close Price [03/01/2018-03/01/2019],% Change - Dividend Adj. Day Close Price [03/01/2019-03/01/2020],% Change - Dividend Adj. Day Close Price [03/01/2020-03/01/2021]
NasdaqCM:GVP,Common Stock,GSE Systems Inc.,Active,Nasdaq Capital Market (NasdaqCM), 1.55 ,Common Stock,0000944480,Application Software (Primary); Chemicals Industry Software (Primary); Enterprise Software (Primary); Industry Specific Software (Primary); Information Technology (Primary); Software (Primary); Software and Services (Primary); Utilities Industry Software (Primary); Capital Goods; Commercial and Professional Services; Communication Services; Construction and Engineering; Construction and Engineering; Construction Support Services; Educational and Training Software; Engineering and Surveying Services; Engineering Services; Entertainment; Executive Placing Services; Human Resource and Employment Services; Industrials; Interactive Home Entertainment; Media and Entertainment; Professional Services,345.10,42.90,-48.70,8.33,-40.60,-44.40,20.60,-21.30,-14.80,47.10,44.40,3.08,-12.50,-57.30,62.40
NasdaqCM:NEO,Common Stock,NeoGenomics Inc.,Active,Nasdaq Capital Market (NasdaqCM), 50.67 ,Common Stock,0001077183,Health Care (Primary); Life Sciences Tools and Services (Primary); Life Sciences Tools and Services (Primary); Pharmaceuticals Biotechnology and Life Sciences (Primary); Health Care Equipment and Services; Health Care Providers and Services; Health Care Services; Medical Laboratory Services; Medical Research Laboratory Services,316.70,-43.30,-1.18,54.80,11.50,24.10,83.30,8.48,26.80,53.70,16.30,4.56,127.60,46.60,87.70
AMEX:ACY,Common Shares,AeroCentury Corp.,Active,NYSE MKT LLC (AMEX), 9.89 ,Common Stock,0001036848,Capital Goods (Primary); Industrials (Primary); Trading Companies and Distributors (Primary); Trading Companies and Distributors (Primary); Aerospace and Defense; Aerospace and Defense; Business Credit Agencies; Credit Agencies; Diversified Financial Services; Diversified Financials; Finance Leasing; Financials; Passenger and Cargo Aircraft and Airplanes; Passenger and Cargo Aircraft Rental and Leasing; Specialized Finance,309.00,4.91,-48.50,82.50,30.40,-48.30,64.50,9.84,-44.30,28.60,-22.90,44.50,-17.30,-66.50,204.80
NasdaqCM:SLP,Common Stock,Simulations Plus Inc.,Active,Nasdaq Capital Market (NasdaqCM), 68.96 ,Common Stock,0001023459,Health Care (Primary); Health Care Equipment and Services (Primary); Health Care Technology (Primary); Health Care Technology (Primary); Healthcare Industry Software (Primary); Application Hosting Services; Application Service Providers (ASPs); Application Software; Health Care Providers and Services; Health Care Services; Information Technology; Pharmaceutical Contract Research Organization; Pharmaceuticals; Pharmaceuticals; Pharmaceuticals Biotechnology and Life Sciences; Software; Software and Services,297.30,-26.40,-66.50,81.50,93.40,24.50,11.20,42.20,15.20,55.90,4.31,60.70,36.70,55.90,125.20
NasdaqGM:SIGA,Common Stock,SIGA Technologies Inc.,Active,Nasdaq Global Market (NasdaqGM), 7.16 ,Common Stock,0001010086,Anti-infective Drugs (Primary); Antiviral Drugs (Primary); Health Care (Primary); Pharmaceutical Products (Primary); Pharmaceuticals (Primary); Pharmaceuticals (Primary); Pharmaceuticals Biotechnology and Life Sciences (Primary),288.10,-41.30,112.40,36.80,103.40,-77.20,26.80,-18.30,-29.30,-70.50,398.50,91.60,3.28,-24.40,30.50
NasdaqGM:TATT,Ordinary Shares,TAT Technologies Ltd.,Active,Nasdaq Global Market (NasdaqGM), 5.1 ,Common Stock,0000808439,Aerospace and Defense (Primary); Aerospace and Defense (Primary); Aerospace and Defense Maintenance and Services (Primary); Aircraft Engines and Engine Parts (Primary); Aircraft Environmental Control Systems (Primary); Aircraft Landing and Braking Systems (Primary); Aircraft Systems Components and Equipment (Primary); Capital Goods (Primary); Fluid Power Aircraft Subassemblies (Primary); Industrials (Primary); Construction and Engineering; Construction and Engineering; Construction Support Services; Electrical Equipment; Engineering and Surveying Services; Engineering Services; Engines and Turbines; Heavy Electrical Equipment; Industrial Heating Ventilation Air Conditioning and Refrigeration Equipment and Supplies; Industrial Machinery; Machinery; Motors and Generators; Power Generation Equipment,270.40,-63.20,-50.90,155.80,-41.70,-24.80,65.50,27.00,-21.80,8.28,23.80,28.30,-34.40,-24.40,15.40
NasdaqGS:ABST,Common Shares,Absolute Software Corporation,Active,Nasdaq Global Select (NasdaqGS), 14.58 ,Common Stock,0001071058,Information Technology (Primary); Software (Primary); Software and Services (Primary); Systems Software (Primary); Information Technology (IT) Consulting; IT Consulting and Other Services; IT Services,267.70,96.70,-68.80,57.00,-39.40,51.10,-3.93,36.10,50.20,-27.80,6.35,-10.80,55.10,7.85,111.00
AMEX:URG,Common Shares,Ur-Energy Inc.,Active,NYSE MKT LLC (AMEX), 1.06 ,Common Stock,0001375205,Coal and Consumable Fuels (Primary); Energy (Primary); Energy (Primary); Oil Gas and Consumable Fuels (Primary); Uranium Ores (Primary),264.80,-45.60,-71.90,22.10,219.30,-55.80,-34.20,148.10,-42.40,-40.00,54.50,-19.60,20.70,-41.40,143.10
NYSE:SYX,Common Stock,Systemax Inc.,Active,New York Stock Exchange (NYSE), 45.72 ,Common Stock,0000945114,Building Product Distribution (Primary); Capital Goods (Primary); Electrical Equipment Distribution (Primary); Industrial Heating Ventilation Air Conditioning and Refrigeration Equipment Distribution (Primary); Industrials (Primary); Machinery Distribution (Primary); Material Handling Machinery Distribution (Primary); Metalworking Machinery Distribution (Primary); Service Industry Machinery Distribution (Primary); Trading Companies and Distributors (Primary); Trading Companies and Distributors (Primary); Commercial and Professional Services; Commercial Services and Supplies; Consumer Discretionary; Consumer Electronics Distribution; Distributors; Distributors; Durable Goods Distribution; Health Care; Health Care Distributors; Health Care Equipment and Services; Health Care Providers and Services; Healthcare Equipment Distribution; Internet and Direct Marketing Retail; Internet and Direct Marketing Retail; Motor Vehicles and Parts Distribution; Office Product Distribution; Office Services and Supplies; Online Building Product and Home Supply Retail; Online Consumer Electronics Retail; Online Motor Vehicle Parts and Accessories Retail; Online Office Product and Supply Retail; Online Specialty Retail; Retailing,258.00,-54.20,-5.61,92.50,-21.00,39.40,-46.00,19.40,2.21,-28.20,4.48,239.80,-0.97,-0.42,104.90
NasdaqCM:SMED,Common Stock,Sharps Compliance Corp.,Active,Nasdaq Capital Market (NasdaqCM), 15.9 ,Common Stock,0000898770,Health Care (Primary); Health Care Equipment and Services (Primary); Health Care Providers and Services (Primary); Health Care Services (Primary); Commercial and Professional Services; Commercial Services and Supplies; Consumer Discretionary; Consumer Services; Diversified Consumer Services; Education Services; Environmental and Facilities Services; Hazardous Waste Collection Treatment and Disposal Services; Industrials; Online Education Courses; Online Training Services; Recycling Facilities; Refuse Systems; Remediation Services; Sanitary Services; Solid Waste Collection Treatment and Disposal Services,240.00,-30.90,23.40,127.60,-12.90,-31.00,-27.20,66.10,14.40,-7.10,-7.06,-1.27,-19.60,61.10,117.00
NasdaqGS:ACOR,Common Stock,Acorda Therapeutics Inc.,Active,Nasdaq Global Select (NasdaqGS), 4.7 ,Common Stock,0001008848,Biotechnology (Primary); Biotechnology (Primary); Health Care (Primary); Pharmaceuticals Biotechnology and Life Sciences (Primary); Cardiovascular Drugs; Central Nervous System Drugs; Pharmaceutical Products; Pharmaceuticals; Pharmaceuticals,232.50,-1.64,7.63,46.90,-35.00,28.90,12.30,20.50,-7.64,1.39,-19.90,-11.40,-38.10,-90.50,-31.10
NYSE:AGX,Common Stock,Argan Inc.,Active,New York Stock Exchange (NYSE), 50.75 ,Common Stock,0000100591,Capital Goods (Primary); Construction and Engineering (Primary); Construction and Engineering (Primary); Construction Management Services (Primary); Construction Support Services (Primary); Engineering and Surveying Services (Primary); Engineering Services (Primary); Heavy Construction (Primary); Industrials (Primary); Nonbuilding Structures Construction (Primary); Specialty Contract Work (Primary),226.30,85.60,5.13,28.40,-44.20,87.10,11.10,77.60,15.90,2.89,120.30,-42.60,19.20,-8.28,33.80
NYSE:MFGP,SPON ADR EACH REP 1 ORD SHS,Micro Focus International plc,Active,New York Stock Exchange (NYSE), 7.2 ,Depository Receipt (Common Stock),0001359711,Application Software (Primary); Enterprise Software (Primary); Information Technology (Primary); Software (Primary); Software and Services (Primary),222.20,-15.60,45.90,73.30,-38.10,65.20,58.40,16.50,40.70,42.30,48.60,-4.10,-1.69,-58.30,-41.40
NasdaqCM:SLN,SPON ADS EACH REP 3 ORD SHS,Silence Therapeutics plc,Active,Nasdaq Capital Market (NasdaqCM), 22.34 ,Depository Receipt (Common Stock),0001479615; 0001814079,Biotechnology (Primary); Biotechnology (Primary); Health Care (Primary); Pharmaceuticals Biotechnology and Life Sciences (Primary); Cardiovascular Drugs; Hematologic Drugs; Pharmaceutical Products; Pharmaceuticals; Pharmaceuticals; Respiratory Drugs,217.80,-36.40,-50.50,-40.00,-60.20,-54.70,105.60,57.50,-33.70,-48.60,-30.60,123.20,-73.20,686.40,42.80
NasdaqGS:CCOI,Common Stock,Cogent Communications Holdings Inc.,Active,Nasdaq Global Select (NasdaqGS), 68.41 ,Common Stock,0001158324,Alternative Carriers (Primary); Broadband Telecommunications Services (Primary); Communication Services (Primary); Digital Telecommunications Services (Primary); Diversified Telecommunication Services (Primary); Telecommunication Services (Primary); Co-location/Data Centers; Information Technology; Internet Services and Infrastructure; IT Services; Software and Services,216.20,-13.50,-66.00,51.80,41.80,32.80,36.60,53.40,-1.08,7.39,16.60,5.84,20.10,54.70,-14.00
NasdaqCM:RAND,Common Stock,Rand Capital Corporation,Active,Nasdaq Capital Market (NasdaqCM), 18.49 ,Common Stock; Closed End Fund,0000081955,Asset Management and Custody Banks (Primary); Business Development Company (Primary); Capital Markets (Primary); Diversified Financials (Primary); Financials (Primary); Investment Company and Business Development Companies (Primary),214.50,15.40,-11.60,-3.52,-15.40,-4.62,-12.90,25.90,20.30,9.82,-29.50,-17.70,11.30,-9.81,68.60
NasdaqGS:LGO,Common Shares,Largo Resources Ltd.,Active,Nasdaq Global Select (NasdaqGS), 16.76 ,Common Stock,0001400438,Diversified Metal Ores (Primary); Diversified Metals and Mining (Primary); Materials (Primary); Materials (Primary); Metals and Mining (Primary); Vanadium Ores (Primary); Iron Ores; Steel,213.30,27.70,-86.70,200.00,85.40,-38.20,-20.00,27.30,-55.00,-80.20,92.00,133.30,106.30,-61.00,106.70
NYSE:GEO,Common Stock,The GEO Group Inc.,Active,New York Stock Exchange (NYSE), 5.91 ,Common Stock,0000923796; 0001591188,Equity Real Estate Investment Trusts (REITs) (Primary); Real Estate (Primary); Real Estate (Primary); Specialized REITs (Primary),212.60,13.40,-55.70,70.10,22.40,-26.80,139.80,-0.57,42.50,-26.50,79.70,-27.20,12.30,-28.20,-41.30
NasdaqGS:SHYF,Common Stock,The Shyft Group Inc.,Active,Nasdaq Global Select (NasdaqGS), 37.55 ,Common Stock,0000743238,Capital Goods (Primary); Construction Machinery and Heavy Trucks (Primary); Heavy Duty Trucks (Primary); Industrials (Primary); Machinery (Primary); Truck Bodies (Primary); Aerospace and Defense; Aerospace and Defense; Auto Components; Auto Parts and Equipment; Automobile Manufacturers; Automobiles; Automobiles and Components; Consumer Discretionary; Distributors; Distributors; Fire and Rescue Trucks; Military Armored Vehicles; Motor Homes; Motor Vehicle Accessories; Motor Vehicles and Parts Distribution; Recreational Vehicles; Retailing; Safety and Rescue Motor Vehicles,204.80,-42.90,-71.40,158.60,10.80,-5.77,-7.21,9.40,-10.50,-25.20,93.70,125.00,-39.80,60.80,133.50
NYSE:PAM,SPONS ADR LVL I,Pampa Energía S.A.,Active,New York Stock Exchange (NYSE), 13.85 ,Depository Receipt (Common Stock),0001469395; 0001666704,Electric Power Generation By Fossil Fuels (Primary); Electric Power Transmission and Control (Primary); Electric Utilities (Primary); Electric Utilities (Primary); Utilities (Primary); Utilities (Primary); Automotive Retail; Chemicals; Commodity Chemicals; Consumer Discretionary; Electric Power By Wind Energy; Energy; Energy; Hydroelectric Power Generation; Independent Power and Renewable Electricity Producers; Industrial Organic Chemicals; Materials; Materials; Natural Gas Pipelines; Oil and Gas Exploration and Production; Oil and Gas Production; Oil and Gas Refining and Marketing; Oil and Gas Refining and Marketing; Oil and Gas Retail; Oil and Gas Storage and Transportation; Oil Gas and Consumable Fuels; Petrochemicals; Petroleum and Petroleum Products; Renewable Electricity; Retailing; Specialty Retail,203.60,6.04,-57.70,68.00,50.70,-20.50,-38.80,67.50,199.50,126.10,108.60,70.80,-1.21,-20.50,104.60
NasdaqGS:CNXN,Common Stock,PC Connection Inc.,Active,Nasdaq Global Select (NasdaqGS), 44.38 ,Common Stock,0001050377,Communications Equipment Distribution (Primary); Electronic Equipment Instruments and Components (Primary); Information Technology (Primary); Software Distribution (Primary); Technology Distributors (Primary); Technology Hardware and Equipment (Primary); Technology Hardware and Equipment Distribution (Primary); Co-location/Data Centers; Communication Services; Consumer Discretionary; Information Technology (IT) Consulting; Internet and Direct Marketing Retail; Internet and Direct Marketing Retail; Internet Services and Infrastructure; IT Consulting and Other Services; IT Services; Media; Media and Entertainment; Online Computer Hardware and Software Retail; Online Specialty Retail; Published Electronic Materials; Publishing; Retailing; Software and Services,202.20,-40.30,-63.40,80.70,30.20,9.37,65.60,43.00,28.80,-1.66,11.30,-6.33,66.30,-1.18,16.10
NYSE:UVE,Common Stock,Universal Insurance Holdings Inc.,Active,New York Stock Exchange (NYSE), 13.92 ,Common Stock,0000891166,Casualty (Primary); Financials (Primary); Fire and Marine Insurance (Primary); Homeowner's and Renter's Insurance (Primary); Insurance (Primary); Insurance (Primary); Personal Property Insurance (Primary); Property (Primary); Property and Casualty Insurance (Primary); Insurance Brokers,197.80,66.00,-28.60,86.90,2.82,-26.50,21.80,231.10,92.80,-18.50,41.80,11.20,13.70,-35.30,-25.40
NYSE:HBM,Common Shares,Hudbay Minerals Inc.,Active,New York Stock Exchange (NYSE), 7.35 ,Common Stock,0001283621; 0001322422,Diversified Metal Ores (Primary); Diversified Metals and Mining (Primary); Materials (Primary); Materials (Primary); Metals and Mining (Primary); Zinc Ores (Primary); Copper; Copper Ores; Gold; Gold Ores; Precious Metal Ores; Precious Metals and Minerals; Silver; Silver Ores,195.80,-15.70,-70.20,144.10,24.80,-28.70,-17.30,-4.22,19.50,-62.40,178.30,-13.90,-6.62,-63.90,176.60
NasdaqCM:FKWL,Common Stock,Franklin Wireless Corp.,Active,Nasdaq Capital Market (NasdaqCM), 12.9 ,Common Stock,0000722572,Communications Equipment (Primary); Communications Equipment (Primary); Information Technology (Primary); Modems (Primary); Networking Equipment (Primary); Routers and Switches (Primary); Technology Hardware and Equipment (Primary); Telecommunications Equipment (Primary); Telephone and Telecommunications Equipment (Primary); Application Software; Software; Software and Services; Technology Hardware Storage and Peripherals; Technology Hardware Storage and Peripherals,190.90,128.60,-83.60,252.40,100.70,-48.80,-1.32,16.70,-17.10,71.70,8.43,-26.30,37.40,17.40,531.90
NasdaqCM:CODA,Common Shares,Coda Octopus Group Inc.,Active,Nasdaq Capital Market (NasdaqCM), 7.86 ,Common Stock,0001334325,Electronic Equipment and Instruments (Primary); Electronic Equipment Instruments and Components (Primary); Information Technology (Primary); Measuring Analyzing and Controlling Instruments (Primary); Security Control Surveillance and Detection Equipment (Primary); Technology Hardware and Equipment (Primary); Capital Goods; Construction and Engineering; Construction and Engineering; Construction Support Services; Engineering and Surveying Services; Engineering Services; Industrials; Software; Software and Services; Systems Software,190.00,-48.30,-,-,-16.70,-95.00,4476.00,57.30,-63.90,46.20,406.80,-31.90,56.90,-11.10,19.70
NYSE:AXR,Common Shares,AMREP Corporation,Active,New York Stock Exchange (NYSE), 10.5 ,Common Stock,0000006207,Commercial and Professional Services (Primary); Commercial Services and Supplies (Primary); Diversified Support Services (Primary); Industrials (Primary); Warehousing and Storage (Primary); Land Sub Dividers And Developers; Land Sub Dividers and Developers except Cemetery; Nonresidential Building Operators and Lessors; Real Estate; Real Estate; Real Estate Development; Real Estate Management and Development; Real Estate Operating Companies; Real Estate Operators And Lessors; Residential Building Operators and Lessors,187.10,-56.60,-50.00,-26.00,-27.00,-24.30,8.28,-10.20,-26.90,-29.60,57.50,26.40,-23.70,1.21,27.30
NasdaqCM:NYMX,Common Shares,Nymox Pharmaceutical Corporation,Active,Nasdaq Capital Market (NasdaqCM), 2.03 ,Common Stock,0001018735,Biotechnology (Primary); Biotechnology (Primary); Health Care (Primary); Pharmaceuticals Biotechnology and Life Sciences (Primary); Anti-infective Drugs; Health Care Equipment; Health Care Equipment and Services; Health Care Equipment and Supplies; Medical Testing Analyzing and Diagnostic Equipment; Oncology Drugs; Pharmaceutical Products; Pharmaceuticals; Pharmaceuticals,181.10,-3.81,-42.10,33.60,51.50,29.30,-33.70,2.44,-88.30,342.20,26.10,-7.56,-35.50,34.00,-8.23
NasdaqGS:TTEC,Common Stock,TTEC Holdings Inc.,Active,Nasdaq Global Select (NasdaqGS), 106.17 ,Common Stock,0001013880,Data Processing and Outsourced Services (Primary); Information Technology (Primary); IT Services (Primary); Software and Services (Primary); Commercial and Professional Services; Commercial Services and Supplies; Development Consulting; Health Care; Health Care Equipment and Services; Health Care Providers and Services; Health Care Services; Industrials; Information Technology (IT) Consulting; IT Consulting and Other Services; Office Services and Supplies; Outsourced Business Services; Outsourced Client Support and Customer Services; Services Outsourcing; System and Platform Integration,174.70,-35.30,-61.60,108.50,20.20,-26.10,19.10,26.10,0.91,18.30,11.20,16.50,-0.88,9.34,147.50
NasdaqGS:APYX,Common Shares,Apyx Medical Corporation,Active,Nasdaq Global Select (NasdaqGS), 10.0 ,Common Stock,0000719135,Health Care (Primary); Health Care Equipment (Primary); Health Care Equipment and Services (Primary); Health Care Equipment and Supplies (Primary); Health Care Supplies; Medical Consumables; Surgical Sets and Instruments,174.50,-31.60,14.70,6.79,-63.90,8.43,-9.89,23.50,7.30,-42.30,67.70,-23.20,190.00,-16.90,78.00
NasdaqCM:ISIG,Common Stock,Insignia Systems Inc.,Active,Nasdaq Capital Market (NasdaqCM), 5.33 ,Common Stock,0000875355,Advertising (Primary); Communication Services (Primary); Media (Primary); Media and Entertainment (Primary); Point of Sale Advertising (Primary),174.10,-24.20,-62.70,505.50,23.90,-56.00,-10.70,63.10,-2.73,-7.26,-30.30,-11.30,11.20,-44.60,28.40
NasdaqCM:OBCI,Common Stock,Ocean Bio-Chem Inc.,Active,Nasdaq Capital Market (NasdaqCM), 13.52 ,Common Stock,0000350737,Cleaning Products (Primary); Consumer Staples (Primary); Household and Personal Products (Primary); Household Products (Primary); Household Products (Primary); Auto Components; Auto Parts and Equipment; Automobiles and Components; Chemicals; Commodity Chemicals; Consumer Discretionary; Containers and Packaging; Industrial Inorganic Chemicals; Industrial Organic Chemicals; Materials; Materials; Metal and Glass Containers; Plastic Bottles; Plastic Packaging; Specialty Chemicals,173.40,-50.90,-51.10,100.00,40.40,33.00,-11.40,29.80,74.70,-58.20,106.50,-6.81,-4.72,39.10,129.00
NasdaqGS:HALO,Common Stock,Halozyme Therapeutics Inc.,Active,Nasdaq Global Select (NasdaqGS), 50.46 ,Common Stock,0001159036,Biotechnology (Primary); Biotechnology (Primary); Health Care (Primary); Pharmaceuticals Biotechnology and Life Sciences (Primary); Oncology Drugs; Pharmaceutical Products; Pharmaceuticals; Pharmaceuticals,171.50,-32.90,-19.50,49.70,2.71,67.30,-51.60,155.70,6.96,-42.00,47.60,53.60,-11.30,11.30,137.50
